#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Neutopia (USA);Neutopia (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Neutopia II (USA);Neutopia II (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
New Adventure Island (USA);New Adventure Island (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
NewZealand Story, The (Japan);NewZealand Story, The (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Night Creatures (USA);Night Creatures (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Niko Niko Pun (Japan);Niko Niko Pun (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Ninja Ryuukenden (Japan) (En,Ja,Zh);Ninja Ryuukenden (Japan) (En,Ja,Zh);TurboGrafx16;;;;;;;;;;;;;;;;;;
Ninja Spirit (USA);Ninja Spirit (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Ninja Warriors, The (Japan);Ninja Warriors, The (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Obocchama-kun (Japan);Obocchama-kun (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Operation Wolf (Japan);Operation Wolf (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Ordyne (USA);Ordyne (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Out Live (Japan);Out Live (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Out Run (Japan);Out Run (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Override (Japan);Override (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
P-47 - The Freedom Fighter (Japan);P-47 - The Freedom Fighter (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
PC Pachi-Slot - Idol Gambler (Japan) (Unl);PC Pachi-Slot - Idol Gambler (Japan) (Unl);TurboGrafx16;;;;;;;;;;;;;;;;;;
Pac-Land (USA);Pac-Land (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Pachio-kun - Juuban Shoubu (Japan);Pachio-kun - Juuban Shoubu (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Parasol Stars - The Story of Bubble Bobble III (USA);Parasol Stars - The Story of Bubble Bobble III (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Parodius Da! - Shinwa kara Owarai e (Japan);Parodius Da! - Shinwa kara Owarai e (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Populous (Japan);Populous (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power Drift (Japan);Power Drift (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power Eleven (Japan);Power Eleven (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power Gate (Japan);Power Gate (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power Golf (USA);Power Golf (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power League '93 (Japan);Power League '93 (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power League 4 (Japan);Power League 4 (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power League 5 (Japan);Power League 5 (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power League II (Japan);Power League II (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power League III (Japan);Power League III (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Power Tennis (Japan);Power Tennis (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Pro Yakyuu World Stadium '91 (Japan);Pro Yakyuu World Stadium '91 (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Pro Yakyuu World Stadium (Japan);Pro Yakyuu World Stadium (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Psycho Chaser (Japan);Psycho Chaser (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Psychosis (USA);Psychosis (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Puzzle Boy (Japan);Puzzle Boy (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Puzznic (Japan);Puzznic (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Quiz Toukou Shashin (Japan) (Unl);Quiz Toukou Shashin (Japan) (Unl);TurboGrafx16;;;;;;;;;;;;;;;;;;
R-Type (USA);R-Type (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
R-Type I (Japan);R-Type I (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
R-Type II (Japan) (v1.1);R-Type II (Japan) (v1.1);TurboGrafx16;;;;;;;;;;;;;;;;;;
Rabio Lepus Special (Japan);Rabio Lepus Special (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Racing Damashii (Japan);Racing Damashii (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Raiden (USA);Raiden (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
