#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Missile Defense 3-D (USA, Europe, Brazil);Missile Defense 3-D (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Missile Defense 3-D;;;;;;
Monopoly (USA);Monopoly (USA);MasterSystem;;;;;;;;;;;;Monopoly;;;;;;
Montezuma's Revenge featuring Panama Joe (USA);Montezuma's Revenge featuring Panama Joe (USA);MasterSystem;;;;;1;;;;;;;Montezuma's Revenge Featuring Panama Joe;;;;;;
Mortal Kombat (Europe, Brazil);Mortal Kombat (Europe, Brazil);MasterSystem;;;;;2;;;;;;;Mortal Kombat;;;;;;
Mortal Kombat 3 (Brazil);Mortal Kombat 3 (Brazil);MasterSystem;;;;;2;;;;;;;Mortal Kombat 3;;;;;;
Mortal Kombat II (Europe, Brazil);Mortal Kombat II (Europe, Brazil);MasterSystem;;;;;2;;;;;;;Mortal Kombat II;;;;;;
Ms. Pac-Man (Europe, Brazil);Ms. Pac-Man (Europe, Brazil);MasterSystem;;;;;2;;;;;;;Ms. Pac-Man (Namco);;;;;;
My Hero (USA, Europe, Brazil);My Hero (USA, Europe, Brazil);MasterSystem;;;;;2;;;;;;;My Hero;;;;;;
NewZealand Story, The (Europe);NewZealand Story, The (Europe);MasterSystem;;;;;;;;;;;;;;;;;;
Ninja Gaiden (Europe, Brazil);Ninja Gaiden (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Ninja Gaiden (Virtual Console);;;;;;
Ninja, The (USA, Europe, Brazil);Ninja, The (USA, Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Olympic Gold (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);Olympic Gold (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);MasterSystem;;;;;;;;;;;;Olympic Gold;;;;;;
Operation Wolf (Europe, Brazil);Operation Wolf (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Operation Wolf;;;;;;
Ottifants, The (Europe, Brazil) (En,Fr,De,Es,It);Ottifants, The (Europe, Brazil) (En,Fr,De,Es,It);MasterSystem;;;;;;;;;;;;;;;;;;
OutRun (World);OutRun (World);MasterSystem;;;;;1;;;;;;;Out Run;;;;;;
OutRun 3-D (Europe, Brazil);OutRun 3-D (Europe, Brazil);MasterSystem;;;;;1;;;;;;;OutRun 3-D;;;;;;
OutRun Europa (Europe, Brazil);OutRun Europa (Europe, Brazil);MasterSystem;;;;;1;;;;;;;OutRun Europa;;;;;;
PGA Tour Golf (Europe);PGA Tour Golf (Europe);MasterSystem;;;;;;;;;;;;PGA Tour Golf;;;;;;
Pac-Mania (Europe);Pac-Mania (Europe);MasterSystem;;;;;;;;;;;;Pac-Mania;;;;;;
Paperboy (USA, Brazil);Paperboy (USA, Brazil);MasterSystem;;;;;1;;;;;;;Paperboy;;;;;;
Parlour Games (USA, Europe);Parlour Games (USA, Europe);MasterSystem;;;;;4;;;;;;;Parlour Games;;;;;;
Penguin Land (USA, Europe);Penguin Land (USA, Europe);MasterSystem;;;;;1;;;;;;;Penguin Land;;;;;;
Phantasy Star (USA, Europe) (Rev 1);Phantasy Star (USA, Europe) (Rev 1);MasterSystem;;;;;1;;;;;;;Phantasy Star (Virtual Console);;;;;;
